cluster_id,d_lower,d_upper,classification,S5_skips,S7_skips,n5_star,n7_star,prod5_mod5,prod5_mod7,prod7_mod5,prod7_mod7,lift_5,lift_7,lcm,prime_set,notes
C_484_536,484,536,partial-coincident,"484,485,486,488,489,491,492,493,495,496,498,499,501,502,503,505,506,508,509,511,512,513,515,516,518,519,520,522,523,525,526,528,529,530,532,533,535,536","484,485,487,488,490,491,492,494,495,497,498,500,501,502,504,505,507,508,510,511,512,514,515,517,518,519,521,522,524,525,527,528,529,531,532,534,535,536",170,170,0,3,1,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_538_543,538,543,partial-coincident,"538,539,540,542,543","538,539,541,542,543",186,185,0,5,4,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_545_553,545,553,partial-coincident,"545,546,547,549,550,552,553","545,546,548,549,551,552,553",188,188,0,1,2,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_555_560,555,560,partial-coincident,"555,556,557,559,560","555,556,558,559,560",191,190,0,6,2,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_562_567,562,567,partial-coincident,"562,563,564,566,567","562,563,565,566,567",193,192,0,2,1,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_569_577,569,577,partial-coincident,"569,570,571,573,574,576,577","569,570,572,573,575,576,577",195,195,0,6,2,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_579_584,579,584,partial-coincident,"579,580,581,583,584","579,580,582,583,584",198,197,0,5,1,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_586_591,586,591,partial-coincident,"586,587,588,590,591","586,587,589,590,591",200,199,0,2,2,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_593_598,593,598,partial-coincident,"593,594,595,597,598","593,594,596,597,598",202,201,0,3,3,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_600_601,600,601,coincident,"600,601","600,601",204,202,0,3,3,0,9,15,45,"3,5",coincident: 7-series mod-15 required-divisor
C_603_608,603,608,partial-coincident,"603,604,605,607,608","603,604,606,607,608",205,204,0,1,2,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_610_615,610,615,partial-coincident,"610,611,612,614,615","610,611,613,614,615",207,206,0,3,2,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_617_622,617,622,partial-coincident,"617,618,619,621,622","617,618,620,621,622",209,208,0,2,2,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_624_629,624,629,partial-coincident,"624,625,626,628,629","624,625,627,628,629",211,210,0,3,1,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_631_636,631,636,partial-coincident,"631,632,633,635,636","631,632,634,635,636",213,212,0,1,4,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_638_639,638,639,coincident,"638,639","638,639",215,213,0,6,3,0,9,15,45,"3,5",coincident: 7-series mod-15 required-divisor
C_641_643,641,643,coincident,"641,642,643","641,642,643",216,214,0,6,2,0,3,15,15,"3,5",coincident: 7-series mod-15 required-divisor
C_645_646,645,646,coincident,"645,646","645,646",217,215,0,1,3,0,9,15,45,"3,5",coincident: 7-series mod-15 required-divisor
C_648_650,648,650,coincident,"648,649,650","648,649,650",218,216,0,3,3,0,3,15,15,"3,5",coincident: 7-series mod-15 required-divisor
C_652_653,652,653,coincident,"652,653","652,653",219,217,0,6,4,0,9,15,45,"3,5",coincident: 7-series mod-15 required-divisor
C_655_657,655,657,coincident,"655,656,657","655,656,657",220,218,0,6,1,0,3,15,15,"3,5",coincident: 7-series mod-15 required-divisor
C_659_660,659,660,coincident,"659,660","659,660",221,219,0,4,1,0,9,15,45,"3,5",coincident: 7-series mod-15 required-divisor
C_662_664,662,664,coincident,"662,663,664","662,663,664",222,220,0,4,2,0,3,15,15,"3,5",coincident: 7-series mod-15 required-divisor
C_666_667,666,667,coincident,"666,667","666,667",223,221,0,3,4,0,9,15,45,"3,5",coincident: 7-series mod-15 required-divisor
C_669_671,669,671,coincident,"669,670,671","669,670,671",224,222,0,2,1,0,3,15,15,"3,5",coincident: 7-series mod-15 required-divisor
C_673_674,673,674,coincident,"673,674","673,674",225,223,0,6,3,0,9,15,45,"3,5",coincident: 7-series mod-15 required-divisor
C_676_678,676,678,coincident,"676,677,678","676,677,678",226,224,0,5,2,0,3,15,15,"3,5",coincident: 7-series mod-15 required-divisor
C_680_681,680,681,coincident,"680,681","680,681",227,225,0,6,2,0,9,15,45,"3,5",coincident: 7-series mod-15 required-divisor
C_683_685,683,685,coincident,"683,684,685","683,684,685",228,226,0,6,2,0,3,15,15,"3,5",coincident: 7-series mod-15 required-divisor
C_687_688,687,688,coincident,"687,688","687,688",229,227,0,4,4,0,9,15,45,"3,5",coincident: 7-series mod-15 required-divisor
C_690_692,690,692,coincident,"690,691,692","690,691,692",230,228,0,3,2,0,3,15,15,"3,5",coincident: 7-series mod-15 required-divisor
C_694_695,694,695,coincident,"694,695","694,695",231,229,0,5,3,0,9,15,45,"3,5",coincident: 7-series mod-15 required-divisor
C_697_699,697,699,coincident,"697,698,699","697,698,699",232,230,0,1,3,0,3,15,15,"3,5",coincident: 7-series mod-15 required-divisor
C_701_702,701,702,coincident,"701,702","701,702",233,231,0,1,4,0,9,15,45,"3,5",coincident: 7-series mod-15 required-divisor
C_704_706,704,706,coincident,"704,705,706","704,705,706",234,232,0,3,4,0,3,15,15,"3,5",coincident: 7-series mod-15 required-divisor
C_708_713,708,713,partial-coincident,"708,709,711,712,713","708,709,710,712,713",236,233,0,5,2,0,3,9,9,3,partial-coincident: defaulted to mod-3 lifts
C_715_720,715,720,partial-coincident,"715,716,718,719,720","715,716,717,719,720",238,235,0,2,1,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_722_727,722,727,partial-coincident,"722,723,725,726,727","722,723,724,726,727",240,237,0,5,1,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_729_734,729,734,partial-coincident,"729,730,732,733,734","729,730,731,733,734",242,239,0,6,1,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_736_738,736,738,coincident,"736,737,738","736,737,738",243,241,0,2,2,0,9,15,45,"3,5",coincident: 7-series mod-15 required-divisor
C_740_741,740,741,coincident,"740,741","740,741",244,242,0,1,3,0,21,15,105,"3,5,7",coincident: 7-series mod-15 required-divisor
C_743_745,743,745,coincident,"743,744,745","743,744,745",245,243,0,5,3,0,3,15,15,"3,5",coincident: 7-series mod-15 required-divisor
C_747_752,747,752,partial-coincident,"747,748,750,751,752","747,748,749,751,752",247,244,0,2,1,0,3,9,9,3,partial-coincident: defaulted to mod-3 lifts
C_754_759,754,759,partial-coincident,"754,755,757,758,759","754,755,756,758,759",249,246,0,4,4,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_761_766,761,766,partial-coincident,"761,762,764,765,766","761,762,763,765,766",251,248,0,3,4,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_768_773,768,773,partial-coincident,"768,769,771,772,773","768,769,770,772,773",253,250,0,5,2,0,3,3,3,3,partial-coincident: defaulted to mod-3 lifts
C_775_777,775,777,coincident,"775,776,777","775,776,777",254,252,0,3,2,0,9,15,45,"3,5",coincident: 7-series mod-15 required-divisor
C_779_784,779,784,partial-coincident,"779,780,782,783,784","779,780,781,783,784",256,253,0,4,1,0,3,9,9,3,partial-coincident: defaulted to mod-3 lifts
